,id,side,coordinates(epsg25833),parking_value
185,26,right,"[[317197.28274991945, 5688599.395168744], [317195.5724621894, 5688569.443959822]]","TIE: parallel,diagonal/perpendicular"
186,26,left,"[[317215.3851868913, 5688568.312604489], [317213.67489916127, 5688538.361395567]]",parallel
187,26,right,"[[317195.5724621894, 5688569.443959822], [317193.8621744594, 5688539.492750901]]","TIE: parallel,diagonal/perpendicular"
188,26,left,"[[317213.6748991612, 5688538.361395567], [317212.5053623513, 5688517.880022333]]",parallel
189,26,right,"[[317193.86217445944, 5688539.4927509], [317192.69263764954, 5688519.011377666]]",parallel
190,29,left,"[[317209.40305222094, 5688638.88315314], [317239.3658395855, 5688637.389374928]]",parallel
191,29,right,"[[317208.39574778, 5688618.67824686], [317238.3585351446, 5688617.184468649]]",parallel
192,29,left,"[[317239.3658395852, 5688637.389374929], [317269.32862694975, 5688635.8955967175]]",parallel
193,29,right,"[[317238.3585351449, 5688617.184468649], [317268.32132250944, 5688615.690690438]]",parallel
194,29,left,"[[317269.32862695004, 5688635.895596717], [317299.2914143146, 5688634.401818505]]",parallel
195,29,right,"[[317268.3213225091, 5688615.690690437], [317298.2841098737, 5688614.196912226]]",parallel
196,29,left,"[[317299.2914143146, 5688634.4018185055], [317328.05445222073, 5688632.967853139]]",parallel
197,29,right,"[[317298.2841098737, 5688614.196912225], [317327.0471477799, 5688612.76294686]]",parallel
198,30,left,"[[317570.29900090984, 5688895.274479777], [317590.2717009097, 5688895.17667979]]",perpendicular
199,30,right,"[[317570.20079909044, 5688875.219720215], [317590.17349909025, 5688875.121920213]]",parallel
200,31,left,"[[317328.0919354566, 5688632.816948193], [317358.0476806822, 5688631.188044273]]",parallel
201,31,right,"[[317327.0096645439, 5688612.913851804], [317356.96540976956, 5688611.284947884]]",diagonal
202,31,left,"[[317358.0476806819, 5688631.188044273], [317388.0034259075, 5688629.559140354]]",parallel
203,31,right,"[[317356.96540976985, 5688611.284947884], [317386.92115499545, 5688609.656043965]]",diagonal
204,31,left,"[[317388.00342590787, 5688629.559140355], [317417.9591711334, 5688627.9302364355]]",parallel
205,31,right,"[[317386.92115499516, 5688609.656043965], [317416.8769002207, 5688608.027140046]]",diagonal
206,31,left,"[[317417.9591711332, 5688627.9302364355], [317447.9149163588, 5688626.301332517]]",parallel
207,31,right,"[[317416.87690022105, 5688608.027140046], [317446.83264544664, 5688606.398236127]]",diagonal
208,31,left,"[[317447.914916359, 5688626.301332517], [317477.8706615846, 5688624.672428596]]",parallel
209,31,right,"[[317446.8326454463, 5688606.398236127], [317476.78839067195, 5688604.769332208]]",diagonal
210,31,left,"[[317477.87066158437, 5688624.672428597], [317507.82640680997, 5688623.043524678]]",parallel
211,31,right,"[[317476.78839067224, 5688604.769332207], [317506.74413589784, 5688603.140428288]]",diagonal
212,31,left,"[[317507.82640681026, 5688623.043524678], [317537.78215203586, 5688621.414620758]]",parallel
213,31,right,"[[317506.74413589755, 5688603.140428288], [317536.69988112315, 5688601.511524368]]",diagonal
214,31,left,"[[317537.7821520355, 5688621.414620759], [317554.2279354562, 5688620.520348195]]",parallel
215,31,right,"[[317536.6998811235, 5688601.511524368], [317553.14566454425, 5688600.617251806]]",no car
216,32,left,"[[317224.6064663729, 5688744.89457965], [317223.12591296865, 5688714.931135895]]",no car
217,32,right,"[[317204.7157336273, 5688745.877420351], [317203.23518022307, 5688715.913976596]]",diagonal/perpendicular
218,32,left,"[[317223.12591296865, 5688714.931135895], [317221.6453595644, 5688684.9676921405]]",parallel
219,32,right,"[[317203.23518022307, 5688715.913976596], [317201.7546268188, 5688685.950532842]]","TIE: parallel,diagonal/perpendicular"
220,32,left,"[[317221.6453595644, 5688684.9676921405], [317220.16480616014, 5688655.004248387]]",parallel
221,32,right,"[[317201.7546268188, 5688685.950532842], [317200.2740734146, 5688655.987089088]]","TIE: parallel,diagonal/perpendicular"
222,32,left,"[[317220.16480616014, 5688655.004248386], [317218.8447663732, 5688628.289279649]]",no car
223,32,right,"[[317200.27407341456, 5688655.987089088], [317198.95403362764, 5688629.27212035]]",no car
224,33,left,"[[317208.4164887465, 5688618.834916824], [317178.45178924757, 5688620.289833984]]","TIE: parallel,diagonal/perpendicular"
225,33,right,"[[317209.3823112544, 5688638.726483174], [317179.4176117555, 5688640.181400334]]",parallel
226,33,left,"[[317178.45178924757, 5688620.289833984], [317148.4870897486, 5688621.744751143]]","TIE: parallel,diagonal/perpendicular"
227,33,right,"[[317179.4176117555, 5688640.181400334], [317149.4529122566, 5688641.636317494]]",parallel
228,33,left,"[[317148.4870897486, 5688621.744751143], [317118.52239024977, 5688623.199668304]]","TIE: parallel,diagonal/perpendicular"
229,33,right,"[[317149.4529122566, 5688641.636317494], [317119.4882127577, 5688643.091234654]]",parallel
230,33,left,"[[317118.52239024977, 5688623.199668304], [317090.35708874586, 5688624.567216825]]",diagonal/perpendicular
231,33,right,"[[317119.48821275774, 5688643.091234654], [317091.32291125384, 5688644.458783176]]",parallel
232,34,left,"[[317090.2707231118, 5688624.598079407], [317060.32005045505, 5688626.317732687]]",diagonal
233,34,right,"[[317091.40927688795, 5688644.427920596], [317061.4586042312, 5688646.147573876]]",parallel
234,34,left,"[[317060.32005045505, 5688626.317732687], [317030.3693777983, 5688628.037385968]]",diagonal
235,34,right,"[[317061.4586042312, 5688646.147573876], [317031.5079315744, 5688647.867227156]]",parallel
236,34,left,"[[317030.36937779794, 5688628.037385966], [317000.4187051412, 5688629.757039248]]",diagonal
237,34,right,"[[317031.5079315747, 5688647.867227156], [317001.55725891795, 5688649.586880437]]",parallel
238,34,left,"[[317000.4187051413, 5688629.757039249], [316978.5461231112, 5688631.012879405]]",no car
239,34,right,"[[317001.5572589179, 5688649.586880437], [316979.6846768879, 5688650.842720594]]",no car
240,35,left,"[[316956.7466927449, 5688633.17173883], [316926.91823840945, 5688636.375379253]]",no car
241,35,right,"[[316958.87150725536, 5688652.955461169], [316929.0430529199, 5688656.159101591]]",no car
242,35,left,"[[316926.91823840945, 5688636.375379253], [316897.089784074, 5688639.579019676]]",no car
243,35,right,"[[316929.0430529199, 5688656.159101591], [316899.21459858445, 5688659.362742014]]",no car
244,35,left,"[[316897.089784074, 5688639.579019676], [316867.26132973854, 5688642.782660099]]",no car
245,35,right,"[[316899.21459858445, 5688659.362742014], [316869.386144249, 5688662.566382437]]",no car
246,35,left,"[[316867.2613297387, 5688642.782660099], [316854.6872927445, 5688644.133138832]]",no car
247,35,right,"[[316869.386144249, 5688662.566382438], [316856.81210725475, 5688663.916861169]]",no car
248,36,left,"[[316838.20674689667, 5688646.108446056], [316808.3494655327, 5688649.031244296]]",parallel
249,36,right,"[[316840.1316531039, 5688665.77195394], [316810.27437173994, 5688668.69475218]]",perpendicular
250,36,left,"[[316808.3494655327, 5688649.031244296], [316778.49218416866, 5688651.954042535]]",parallel
251,36,right,"[[316810.27437173994, 5688668.69475218], [316780.41709037597, 5688671.61755042]]",diagonal
252,36,left,"[[316778.4921841685, 5688651.954042536], [316748.63490280445, 5688654.876840777]]",parallel
253,36,right,"[[316780.4170903763, 5688671.617550421], [316750.55980901234, 5688674.540348661]]",perpendicular
254,36,left,"[[316748.63490280474, 5688654.876840776], [316718.77762144076, 5688657.799639016]]",parallel
255,36,right,"[[316750.559809012, 5688674.54034866], [316720.702527648, 5688677.463146901]]",perpendicular
256,36,left,"[[316718.77762144076, 5688657.799639016], [316688.9203400768, 5688660.722437255]]",parallel
257,36,right,"[[316720.702527648, 5688677.463146901], [316690.84524628404, 5688680.385945139]]",perpendicular
258,36,left,"[[316688.92034007644, 5688660.722437257], [316663.02444689587, 5688663.257446058]]",parallel
259,36,right,"[[316690.8452462845, 5688680.38594514], [316664.949353104, 5688682.920953942]]",perpendicular
260,40,left,"[[316701.02982895274, 5689055.281284775], [316671.18828281615, 5689058.36059057]]",perpendicular
261,40,right,"[[316703.2679710481, 5689076.971115225], [316673.4264249115, 5689080.05042102]]",parallel
262,40,left,"[[316671.18828281644, 5689058.36059057], [316641.34673667984, 5689061.439896364]]",perpendicular
263,40,right,"[[316673.4264249111, 5689080.05042102], [316643.5848787745, 5689083.129726814]]",parallel
264,40,left,"[[316641.3467366798, 5689061.439896364], [316608.4265289525, 5689064.836884776]]",perpendicular
265,40,right,"[[316643.5848787746, 5689083.129726814], [316610.6646710473, 5689086.526715226]]",parallel
266,41,left,"[[316654.4078456716, 5689279.797281772], [316648.7153779225, 5689250.34230238]]",perpendicular
267,41,right,"[[316642.0367543273, 5689282.188118226], [316636.34428657824, 5689252.733138834]]",parallel
